timestamp;steering_angle
46288.58491265;0.30000000000000004
46288.590414004;0.30000000000000004
46288.60762967067;0.30000000000000004
46288.618512285;0.30000000000000004
46288.629265254;0.30000000000000004
46288.640539577;0.30000000000000004
46288.65377026466;0.30000000000000004
46288.66883311834;0.2
46288.679617014335;0.30000000000000004
46288.690486608;0.2
46288.702058014;0.2
46288.715705733;0.30000000000000004
46288.72930351433;0.30000000000000004
46288.74093143133;0.2
46288.747535045;0.2
46288.768384399336;0.2
46288.77932058734;0.2
46288.78925893067;0.2
46288.800669982666;0.2
46288.812630525;0.2
46288.828779639;0.2
46288.834472597;0.2
46288.850305889;0.2
46288.868127587;0.2
46288.87096814933;0.2
46288.884602118334;0.2
46288.895692493;0.2
46288.912704285;0.2
46288.92360916033;0.2
46288.929109004;0.2
46288.94207951367;0.30000000000000004
46288.95351928467;0.30000000000000004
46288.96862317;0.30000000000000004
46288.984698733;0.30000000000000004
46288.990198014;0.30000000000000004
46289.001691504;0.4
46289.018152180666;0.4
46289.028902389;0.4
46289.039795827;0.4
46289.051142441;0.5
46289.068965711995;0.6000000000000001
46289.07977064967;0.7000000000000001
46289.08694991;0.7000000000000001
46289.096377597;0.7999999999999999
46289.113122702;0.7999999999999999
46289.129291108;0.7999999999999999
46289.134747285;0.7999999999999999
46289.146207233;0.7000000000000001
46289.16841039933;0.7000000000000001
46289.17386685734;0.7000000000000001
46289.18646797234;0.7999999999999999
46289.196412285;0.7999999999999999
46289.213541222;0.7999999999999999
46289.22432762867;0.7999999999999999
46289.23517640933;0.7999999999999999
46289.24092291;0.7999999999999999
46289.26751525333;0.7999999999999999
46289.27129028467;0.7999999999999999
46289.28480364933;0.7999999999999999
46289.290292129;0.7999999999999999
46289.307458232994;0.7999999999999999
46289.318212233;0.7999999999999999
46289.331600419995;0.7999999999999999
46289.339795149;0.8999999999999999
46289.351131712;1.0
46289.368447284665;1.0
46289.379156764;1.1
46289.389902233;1.1
46289.40148291;1.1
46289.412675441;1.1
46289.429055930996;1.1
46289.434405462;1.1
46289.448489545;1.1
46289.46853551366;1.2
46289.473960201;1.2
46289.489267545;1.2
46289.498060285005;1.2
46289.51280948267;1.2
46289.523637326;1.3
46289.534626868;1.3
46289.54849792;1.3
46289.566159336995;1.3
46289.571723378;1.2
46289.58693315933;1.2
46289.593536556;1.3
46289.61099367;1.3
46289.62181023233;1.4
46289.63251808667;1.4
46289.643744628;1.4
46289.65678309733;1.4
46289.668672993335;1.4
46289.68217886767;1.3
46289.690437597;1.2
46289.701894055;1.1
46289.71853936767;1.1
46289.72932330566;1.0
46289.738523618;1.0
46289.749895983005;0.8999999999999999
46289.768442576664;0.8999999999999999
46289.779321087;0.7999999999999999
46289.78651890966;0.7000000000000001
46289.795852649;0.6000000000000001
46289.815239201;0.5
46289.82885670134;0.5
46289.838907659665;0.5
46289.847528712;0.5
46289.86731851334;0.4
46289.87821151333;0.30000000000000004
46289.88812247233;0.2
46289.894832805;0.0
46289.91174990933;-0.1
46289.922527691;-0.2
46289.93605093033;-0.2
46289.944551295;-0.30000000000000004
46289.96848899267;-0.30000000000000004
46289.97409447234;-0.4
46289.982195128665;-0.4
46289.990504576;-0.5
46290.00753355533;-0.6000000000000001
46290.017471868334;-0.7000000000000001
46290.031648898665;-0.7999999999999999
46290.039961347;-1.0
46290.051239993;-1.2
46290.068865764;-1.3
46290.07973945133;-1.4
46290.08788767033;-1.5
46290.102167441;-1.6
46290.115821899;-1.7
46290.12939344067;-1.7
46290.139488837;-1.8
46290.14896220133;-1.9
46290.171540805;-2.0
46290.174360065335;-2.1
46290.186907201;-2.3
46290.193815514;-2.4
46290.21508956533;-2.5
46290.22413564933;-2.6
46290.23767761766;-2.6
46290.245260868;-2.7
46290.25994227433;-2.6
46290.271142347;-2.6
46290.28467195133;-2.6
46290.290231191;-2.6
46290.30733692;-2.5
46290.32353157567;-2.5
46290.33162913833;-2.4
46290.339814732;-2.3
46290.35298949267;-2.2
46290.36856180567;-2.1
46290.38472404433;-2.0
46290.390223274;-2.0
46290.401746607;-2.0
46290.418185294664;-2.0
46290.42889137766;-1.9
46290.439737024;-1.9
46290.451102128;-1.8
46290.467795794335;-1.8
46290.47950253467;-1.7
46290.489331524;-1.6
46290.495928482;-1.6
46290.512932441;-1.5
46290.529082586;-1.5
46290.536442378;-1.5
46290.54759437766;-1.5
46290.568309034;-1.5
46290.57380014867;-1.5
46290.58462317;-1.5
46290.595828378;-1.5
46290.612671232666;-1.5
46290.62361090933;-1.5
46290.63440510767;-1.5
46290.640380461;-1.5
46290.657387128;-1.5
46290.670833315664;-1.5
46290.684534003;-1.4
46290.690160097;-1.4
46290.707248450664;-1.3
46290.71811628467;-1.3
46290.72913481534;-1.3
46290.740447649;-1.2
46290.751664836;-1.2
46290.76814999267;-1.1
46290.778867003;-1.0
46290.789598951;-1.0
46290.80306073167;-0.8999999999999999
46290.81479826367;-0.8999999999999999
46290.82572770066;-0.8999999999999999
46290.834252961;-0.8999999999999999
46290.84997099266;-0.8999999999999999
46290.868389752664;-0.8999999999999999
46290.87924286733;-0.8999999999999999
46290.886520524;-0.8999999999999999
46290.90065470101;-0.8999999999999999
46290.912709878336;-0.8999999999999999
46290.92347244;-0.7999999999999999
46290.93611544033;-0.7999999999999999
46290.94558317;-0.7999999999999999
46290.96820557567;-0.7999999999999999
46290.97368246166;-0.7999999999999999
46290.98457636767;-0.7999999999999999
46290.99206118033;-0.7999999999999999
46291.007212305005;-0.7999999999999999
46291.02327713833;-0.8999999999999999
46291.02866759633;-1.0
46291.04174248233;-1.0
46291.053895065;-1.0
46291.068164804994;-1.0
46291.08172251333;-0.8999999999999999
46291.091906367335;-0.8999999999999999
46291.098831086;-1.0
46291.11802466966;-1.0
46291.131549982;-1.0
46291.13889152333;-1.0
46291.148293013;-1.1
46291.16813061766;-1.1
46291.17912885733;-1.1
46291.186306919335;-1.1
46291.195751242;-1.1
46291.212730576;-1.1
46291.229069221336;-1.1
46291.236278575336;-1.1
46291.24758669;-1.1
46291.270483024;-1.1
46291.27610037767;-1.1
46291.284071492;-1.1
46291.292370357;-1.1
46291.309494836;-1.1
46291.32546830466;-1.2
46291.330871867;-1.3
46291.34367925267;-1.3
46291.353441815336;-1.4
46291.37373134667;-1.6
46291.38454525233;-1.6
46291.39006218;-1.7
46291.407145731995;-1.8
